feature,importance_XGBoost,importance_LightGBM,importance_RandomForest,importance_HistGradientBoosting,mean_importance
sea_salt_aerosol_05_5_mixing_ratio__park_wmean,0.0073901955,0.004945633710675182,0.0,0.005768405244666449,0.004526058614793136
ethane__max,0.0100405505,0.002984420198679364,0.0,0.004900930590792155,0.004481475320543858
formaldehyde__cumsum,0.0017563796,0.0036337181029177912,0.00010569792895417746,0.012347483143432526,0.00446081969723933
hydrophobic_organic_matter_aerosol_mixing_ratio__park_wmean,0.00937902,0.002312054290930106,0.0,0.004898848100822569,0.004147480588128436
sulphate_aerosol_mixing_ratio__park_wmean,0.0075371214,0.003520919971576893,0.0,0.005287087277262799,0.004086282166925807
organic_nitrates__park_wmean,0.0062637697,0.007631782659190419,0.0,0.002261083968511673,0.00403915908127501
organic_nitrates__cumsum,0.0067298287,0.006692901937046915,5.5464911805280825e-05,0.0025015604916679853,0.003994938999991307
dust_aerosol_055_09_mixing_ratio__cumsum,0.0077683567,0.006065477718331389,0.00012587125543153676,0.0018190556882546828,0.0039446903422411745
metar_temperature_c__mean,0.0033833182,0.0025312082204079884,0.0019163815995021467,0.007718282563495577,0.003887297644631303
sea_salt_aerosol_003_05_mixing_ratio__mean,0.0048476798,0.005734823865072161,0.0,0.004160133690852349,0.0036856593271952505
hydrophobic_organic_matter_aerosol_mixing_ratio__mean,0.002765173,0.010663905722926402,0.0,0.0,0.003357269703852719
sulphur_dioxide_mass_mixing_ratio__mean,0.006817148,0.004561176197541418,5.129527821801955e-05,0.0015510080544178788,0.0032451568993086123
hydrophilic_organic_matter_aerosol_mixing_ratio__max,0.0035447308,0.0029014055379013737,1.5045203488339417e-05,0.006254971943563478,0.0031790383794383648
formaldehyde__park_wmean,0.009285358,0.0,0.0,0.0032172913180759425,0.0031256622747076273
isoprene__mean,0.0030526929,0.007539933687069169,0.0,0.001600412010513455,0.0030482596394868847
sulphate_aerosol_mixing_ratio__mean,0.008210738,0.0028270275289489135,0.0,0.0011064110790580714,0.003036044199381359
ethane__cumsum,0.00028871855,0.005914051230068168,1.3511768161070866e-05,0.004169707543004534,0.002596497273972681
formaldehyde__mean,0.005707056,0.002960329112285705,0.0,0.0011773428539074888,0.0024611819405327426
hydrophilic_organic_matter_aerosol_mixing_ratio__mean,0.0023979456,0.004019404842065347,0.0,0.003006888056336998,0.0023560596286991567
hydrophobic_black_carbon_aerosol_mixing_ratio__park_wmean,0.0064611044,0.0,0.0,0.0022594748989952953,0.0021801448192748764
hydrophilic_organic_matter_aerosol_mixing_ratio__cumsum,0.004306388,0.0012256433066282339,0.000518393108549079,0.0007869485381062958,0.001709343260213569
hydrophilic_organic_matter_aerosol_mixing_ratio__park_wmean,0.0,0.005835420603104792,0.0,0.0,0.001458855150776198
hydrophilic_black_carbon_aerosol_mixing_ratio__park_wmean,0.0,0.000955028667116991,0.0,0.004259955747509066,0.0013037461036565143
sea_salt_aerosol_05_5_mixing_ratio__mean,0.0,0.001992859767641609,0.0,0.0,0.0004982149419104023
carbon_monoxide_mass_mixing_ratio__park_wmean,0.0,0.00026099489807231184,0.00011988969279136703,0.0007293587639028191,0.0002775608386916245
